count_X36,count_X27,count_X30,count_X41,mean_X36,mean_X27,mean_X30,mean_X41,std_X36,std_X27,std_X30,std_X41,min_X36,min_X27,min_X30,min_X41,25%_X36,25%_X27,25%_X30,25%_X41,50%_X36,50%_X27,50%_X30,50%_X41,75%_X36,75%_X27,75%_X30,75%_X41,max_X36,max_X27,max_X30,max_X41
18.0,18.0,18.0,18.0,0.010000000000000002,4.55,1.055,0.09000000000000001,1.7850157304611042e-18,1.594936841825332,0.3550020712449933,0.03086974532565159,0.01,3.0,0.71,0.06,0.01,3.0,0.71,0.06,0.01,4.55,1.055,0.09,0.01,6.1,1.4,0.12,0.01,6.1,1.4,0.12
11.0,11.0,11.0,11.0,0.0,4.200000000000001,0.46,0.05,0.0,9.315293853352739e-16,0.0,0.0,0.0,4.2,0.46,0.05,0.0,4.2,0.46,0.05,0.0,4.2,0.46,0.05,0.0,4.2,0.46,0.05,0.0,4.2,0.46,0.05
41.0,41.0,41.0,41.0,0.012195121951219513,7.351219512195123,1.7804878048780488,0.15560975609756098,0.01037116076482069,2.7123902697823112,0.32188469379198664,0.10807517708724342,0.0,2.3,1.2,0.03,0.01,8.7,1.8,0.04,0.01,8.8,2.0,0.25,0.01,8.8,2.0,0.25,0.03,8.8,2.0,0.25
21.0,21.0,21.0,21.0,0.005238095238095238,5.704761904761905,1.9047619047619044,0.15000000000000002,0.00511766315719159,3.326481052174534,0.10235326314383177,0.10747092630102338,0.0,2.3,1.8,0.04,0.0,2.3,1.8,0.04,0.01,8.8,2.0,0.25,0.01,8.8,2.0,0.25,0.01,8.8,2.0,0.25
18.0,18.0,18.0,18.0,0.005,5.550000000000001,1.8999999999999997,0.14500000000000002,0.005144957554275265,3.3442224102789226,0.10289915108550528,0.10804410863978058,0.0,2.3,1.8,0.04,0.0,2.3,1.8,0.04,0.005,5.550000000000001,1.9,0.14500000000000002,0.01,8.8,2.0,0.25,0.01,8.8,2.0,0.25
16.0,16.0,16.0,16.0,0.0,4.2,0.46,0.05,0.0,0.0,0.0,0.0,0.0,4.2,0.46,0.05,0.0,4.2,0.46,0.05,0.0,4.2,0.46,0.05,0.0,4.2,0.46,0.05,0.0,4.2,0.46,0.05
18.0,18.0,18.0,18.0,0.0,4.400000000000001,0.29,0.020000000000000004,0.0,9.139280539960854e-16,0.0,3.5700314609222084e-18,0.0,4.4,0.29,0.02,0.0,4.4,0.29,0.02,0.0,4.4,0.29,0.02,0.0,4.4,0.29,0.02,0.0,4.4,0.29,0.02
15.0,15.0,15.0,15.0,0.012,5.700000000000001,0.822,0.030000000000000013,0.015212776585113299,2.535462764185549,0.31946830828737927,1.436487510905098e-17,0.0,3.7,0.57,0.03,0.0,3.7,0.57,0.03,0.0,3.7,0.57,0.03,0.03,8.7,1.2,0.03,0.03,8.7,1.2,0.03
19.0,19.0,19.0,19.0,0.010000000000000002,4.1421052631578945,1.1457894736842102,0.09789473684210528,1.7822589477650745e-18,1.5363433461283913,0.3419602931705129,0.029735677667001123,0.01,3.0,0.71,0.06,0.01,3.0,0.71,0.06,0.01,3.0,1.4,0.12,0.01,6.1,1.4,0.12,0.01,6.1,1.4,0.12
43.0,43.0,43.0,43.0,0.013720930232558142,6.339534883720933,0.9151162790697674,1.3427906976744188,0.007874992309581576,2.0745785039357387,0.6781044030201756,1.0246888623739947,0.01,4.6,0.39,0.03,0.01,4.6,0.39,0.25,0.01,4.6,0.39,2.2,0.01,8.7,1.2,2.2,0.03,8.8,2.0,2.2
